Year ,South West Garo Hills,West Garo Hills,South Garo Hills,East Garo Hills,South West Khasi Hills,West Khasi Hills,East Khasi Hills,Eastern West Khasi Hills,Ri-Bhoi,West Jaintia Hills,East Jaintia Hills
1901,64.00212097,78.5100174,63.29614639,63.38536835,77.06542969,77.01795197,126.969017,79.41967773,89.82086945,128.3544006,129.457489
1902,123.342247,124.315979,97.14738464,87.22329712,123.2009277,133.9457397,123.7758408,126.7814331,134.6191864,122.6288528,132.7527466
1903,179.8657837,199.1636658,111.5084229,102.1968384,120.6491318,123.8772659,98.05593109,97.26793671,97.98138428,97.99628448,117.9953156
1904,111.9007339,115.7435379,84.64827728,85.53659058,81.90207672,78.16850281,118.236145,94.66509247,127.2146378,128.5700073,106.3813858
1905,124.5475693,133.9197998,94.90877533,87.34291077,96.52983093,96.04808807,111.2871323,82.6668396,100.6110306,100.2761841,114.5426788
1906,170.0086517,185.4994202,111.3265915,88.77497864,85.5774231,80.49143982,193.625,105.8212585,109.8563156,182.5717621,152.1299896
1907,73.56781769,91.06720734,56.984272,49.71541214,73.76574707,75.39170074,168.226944,80.36849976,84.49414825,163.1372681,156.3554535
1908,79.99921417,93.12638855,63.16882706,67.35430145,62.23054504,63.13379288,116.0608292,104.3069229,142.9394073,115.9433517,121.9896698
1909,221.7930298,241.451767,123.7841415,130.9616089,78.75821686,96.75466156,70.9390564,100.4296951,69.3551712,70.88285828,70.92498016
1910,123.4416962,134.8536377,104.5817184,63.57883835,119.106163,136.1762543,165.5054016,113.0754623,107.0698547,160.3433838,120.1652908
1911,135.3023376,141.3328705,85.01444244,84.0007019,102.6903687,92.10299683,138.0900574,94.47928619,93.43859863,124.1375122,95.57015991
1912,107.0145187,118.7627869,78.21892548,70.69519043,65.6280365,74.90016174,127.1511459,88.33631897,48.36611557,115.4704437,108.7508774
1913,123.201828,128.7476196,93.91490936,89.69968414,110.0536804,104.8959503,209.9167328,115.6266556,92.22363281,201.4271851,213.3166809
1914,91.58963013,98.18860626,85.74994659,87.34165192,76.09217072,72.32277679,91.96233368,84.80756378,88.91183472,88.66226196,88.48412323
1915,123.6058578,129.4522858,85.75835419,67.63166046,157.7374268,62.77023315,332.0315247,200.8187256,73.22409821,312.7460938,241.2096863
1916,70.58868408,82.2236557,68.10539246,63.95133591,51.07365036,56.83953094,80.79205322,64.25669861,85.2856369,304.3833923,134.6991577
1917,121.7586517,125.3539352,118.1070099,97.97673798,77.63197327,66.94830322,97.14258575,104.4587784,83.43747711,92.24840546,106.4459763
