year,annual_max,state
1901,182.6526794,Gujarat
1902,398.3119202,Gujarat
1903,249.125412,Gujarat
1904,355.3087463,Gujarat
1905,358.8529358,Gujarat
1906,276.9483337,Gujarat
1907,263.6730652,Gujarat
1908,266.287323,Gujarat
1909,259.40802,Gujarat
1910,222.3237457,Gujarat
1911,137.2466888,Gujarat
1912,307.8760986,Gujarat
1913,507.5271606,Gujarat
1914,381.0474548,Gujarat
1915,301.9073486,Gujarat
1916,181.70961,Gujarat
1917,356.6699219,Gujarat
1918,284.4485474,Gujarat
1919,287.1558533,Gujarat
1920,336.095459,Gujarat
1921,300.8417664,Gujarat
1922,358.187561,Gujarat
1923,273.7008057,Gujarat
1924,292.2814331,Gujarat
1925,213.078064,Gujarat
1926,271.9494629,Gujarat
1927,515.7895508,Gujarat
1928,213.8290863,Gujarat
1929,337.1144104,Gujarat
1930,283.1150513,Gujarat
1931,287.6822815,Gujarat
1932,233.4014587,Gujarat
1933,327.1685791,Gujarat
1934,251.1820831,Gujarat
1935,234.6497345,Gujarat
1936,261.884552,Gujarat
1937,331.0369873,Gujarat
1938,304.4007874,Gujarat
1939,293.4925537,Gujarat
1940,316.7829285,Gujarat
1941,802.8557129,Gujarat
1942,379.8460693,Gujarat
1943,303.3762207,Gujarat
1944,458.6102905,Gujarat
1945,446.9555359,Gujarat
1946,432.300293,Gujarat
1947,290.6987915,Gujarat
1948,179.5710907,Gujarat
1949,194.3000183,Gujarat
1950,363.171814,Gujarat
1951,355.1000061,Gujarat
1952,307.9678345,Gujarat
1953,388.4465027,Gujarat
1954,330.3406677,Gujarat
1955,195.2988586,Gujarat
1956,314.5305786,Gujarat
1957,289.875946,Gujarat
1958,288.6629944,Gujarat
1959,281.0589905,Gujarat
1960,222.9705658,Gujarat
1961,364.8462219,Gujarat
1962,260.2999878,Gujarat
1963,302.0942688,Gujarat
1964,305.0369873,Gujarat
1965,262.7189636,Gujarat
1966,343.7011414,Gujarat
1967,328.2660828,Gujarat
1968,379.354187,Gujarat
1969,275.7519836,Gujarat
1970,375.9970398,Gujarat
1971,206.7067261,Gujarat
1972,193.3082428,Gujarat
1973,432.4832458,Gujarat
1974,230.3999939,Gujarat
1975,318.1976624,Gujarat
1976,506.2232666,Gujarat
1977,562.7114868,Gujarat
1978,305.6385193,Gujarat
1979,345.2841492,Gujarat
1980,421.7084351,Gujarat
1981,425.3819885,Gujarat
1982,351.4186401,Gujarat
1983,717.9678955,Gujarat
1984,306.8439331,Gujarat
1985,462.1652527,Gujarat
1986,343.8162842,Gujarat
1987,204.9059753,Gujarat
1988,335.6327515,Gujarat
1989,390.0218201,Gujarat
1990,425,Gujarat
1991,219.9007721,Gujarat
1992,285.6685181,Gujarat
1993,464.5465088,Gujarat
1994,428.0549011,Gujarat
1995,235.1741486,Gujarat
1996,386.841217,Gujarat
1997,370.2208557,Gujarat
1998,478.696228,Gujarat
1999,368.7000122,Gujarat
2000,323.420166,Gujarat
2001,276.0858765,Gujarat
2002,350.2662354,Gujarat
2003,282.5897827,Gujarat
2004,392.6387634,Gujarat
2005,438.9960022,Gujarat
2006,323.2124939,Gujarat
2007,444.8901062,Gujarat
2008,244.593811,Gujarat
2009,503.5693665,Gujarat
2010,442.47052,Gujarat
2011,210.8999939,Gujarat
2012,285.3505554,Gujarat
2013,377,Gujarat
2014,337.6413269,Gujarat
2015,531.9250488,Gujarat
2016,344.6032715,Gujarat
2017,416.9457703,Gujarat
2018,403.1428528,Gujarat
2019,476.9725952,Gujarat
2020,424.9625244,Gujarat
2021,397.7632141,Gujarat
