latitude,longitude,state,estimated_state,final_state
23.75,68,Sindh (d),Gujarat,Gujarat
24,68,Sindh (d),Gujarat,Gujarat
23.5,68.25,State not found (b),Gujarat,Gujarat
23.75,68.25,Gujarat,,Gujarat
24,68.25,Sindh (d),Gujarat,Gujarat
23.25,68.5,State not found (b),Gujarat,Gujarat
23.5,68.5,Gujarat,,Gujarat
23.75,68.5,Gujarat,,Gujarat
24,68.5,Sindh (d),Gujarat,Gujarat
23,68.75,State not found (b),Gujarat,Gujarat
22.5,68.75,State not found (b),Gujarat,Gujarat
22.25,68.75,State not found (b),Gujarat,Gujarat
23.25,68.75,Gujarat,,Gujarat
23.5,68.75,Gujarat,,Gujarat
23.75,68.75,Gujarat,,Gujarat
24,68.75,Sindh (d),Gujarat,Gujarat
24.25,68.75,Sindh (d),Gujarat,Gujarat
24.5,68.75,Sindh (d),Gujarat,Gujarat
24.25,69,Sindh (d),Gujarat,Gujarat
22.5,69,State not found (b),Gujarat,Gujarat
22.25,69,Gujarat,,Gujarat
22,69,State not found (b),Gujarat,Gujarat
23,69,Gujarat,,Gujarat
23.25,69,Gujarat,,Gujarat
23.5,69,Gujarat,,Gujarat
23.75,69,Gujarat,,Gujarat
24,69,Gujarat,,Gujarat
22.5,69.25,State not found (b),Gujarat,Gujarat
22,69.25,Gujarat,,Gujarat
22.25,69.25,Gujarat,,Gujarat
21.75,69.25,State not found (b),Gujarat,Gujarat
23,69.25,Gujarat,,Gujarat
23.25,69.25,Gujarat,,Gujarat
23.5,69.25,Gujarat,,Gujarat
23.75,69.25,Gujarat,,Gujarat
24,69.25,Gujarat,,Gujarat
24.25,69.25,Gujarat,,Gujarat
24.5,69.25,Sindh (d),Gujarat,Gujarat
21.5,69.5,State not found (b),Gujarat,Gujarat
21.75,69.5,Gujarat,,Gujarat
22,69.5,Gujarat,,Gujarat
22.25,69.5,Gujarat,,Gujarat
22.5,69.5,Gujarat,,Gujarat
23,69.5,Gujarat,,Gujarat
23.25,69.5,Gujarat,,Gujarat
23.5,69.5,Gujarat,,Gujarat
23.75,69.5,Gujarat,,Gujarat
24,69.5,Gujarat,,Gujarat
24.25,69.5,Gujarat,,Gujarat
24.5,69.5,Sindh (d),Gujarat,Gujarat
26.75,69.5,Sindh (d),Rajasthan,Rajasthan
27,69.5,Sindh (d),Rajasthan,Rajasthan
27.25,69.5,Sindh (d),Rajasthan,Rajasthan
27.5,69.5,Sindh (d),Rajasthan,Rajasthan
24.25,69.75,Sindh (d),Gujarat,Gujarat
21.25,69.75,Gujarat,,Gujarat
21.5,69.75,Gujarat,,Gujarat
21.75,69.75,Gujarat,,Gujarat
22,69.75,Gujarat,,Gujarat
22.25,69.75,Gujarat,,Gujarat
22.5,69.75,Gujarat,,Gujarat
22.75,69.75,Gujarat,,Gujarat
23,69.75,Gujarat,,Gujarat
23.25,69.75,Gujarat,,Gujarat
23.5,69.75,Gujarat,,Gujarat
23.75,69.75,Gujarat,,Gujarat
24,69.75,Gujarat,,Gujarat
26.75,69.75,Rajasthan,,Rajasthan
27,69.75,Rajasthan,,Rajasthan
27.25,69.75,Rajasthan,,Rajasthan
27.5,69.75,Sindh (d),Rajasthan,Rajasthan
24.25,70,Sindh (d),Gujarat,Gujarat
24.5,70,Sindh (d),Gujarat,Gujarat
21,70,Gujarat,,Gujarat
21.25,70,Gujarat,,Gujarat
21.5,70,Gujarat,,Gujarat
21.75,70,Gujarat,,Gujarat
22,70,Gujarat,,Gujarat
22.25,70,Gujarat,,Gujarat
22.5,70,Gujarat,,Gujarat
22.75,70,Gujarat,,Gujarat
23,70,Gujarat,,Gujarat
23.25,70,Gujarat,,Gujarat
23.5,70,Gujarat,,Gujarat
23.75,70,Gujarat,,Gujarat
24,70,Gujarat,,Gujarat
26.75,70,Rajasthan,,Rajasthan
27,70,Rajasthan,,Rajasthan
27.25,70,Rajasthan,,Rajasthan
27.5,70,Rajasthan,,Rajasthan
28,70,Punjab,,Punjab
26,70,Sindh (d),Rajasthan,Rajasthan
26.25,70,Sindh (d),Rajasthan,Rajasthan
26.5,70,Sindh (d),Rajasthan,Rajasthan
