latitude,longitude,state,estimated_state,final_state
25.5,90,Meghalaya,,Meghalaya
25.75,90,Meghalaya,,Meghalaya
25.25,90.25,Meghalaya,,Meghalaya
25.5,90.25,Meghalaya,,Meghalaya
25.75,90.25,Meghalaya,,Meghalaya
25.25,90.5,Meghalaya,,Meghalaya
25.5,90.5,Meghalaya,,Meghalaya
25.75,90.5,Meghalaya,,Meghalaya
25.25,90.75,Meghalaya,,Meghalaya
25.5,90.75,Meghalaya,,Meghalaya
25.75,90.75,Meghalaya,,Meghalaya
25.25,91,Meghalaya,,Meghalaya
25.5,91,Meghalaya,,Meghalaya
25.75,91,Meghalaya,,Meghalaya
25.25,91.25,Meghalaya,,Meghalaya
25.5,91.25,Meghalaya,,Meghalaya
25.25,91.5,Meghalaya,,Meghalaya
25.5,91.5,Meghalaya,,Meghalaya
25.75,91.5,Meghalaya,,Meghalaya
25.25,91.75,Meghalaya,,Meghalaya
25.5,91.75,Meghalaya,,Meghalaya
25.75,91.75,Meghalaya,,Meghalaya
26,91.75,Meghalaya,,Meghalaya
25.25,92,Meghalaya,,Meghalaya
25.5,92,Meghalaya,,Meghalaya
25.75,92,Meghalaya,,Meghalaya
26,92,Meghalaya,,Meghalaya
25,92.25,Sylhet Division (d),Meghalaya,Meghalaya
25.25,92.25,Meghalaya,,Meghalaya
25.5,92.25,Meghalaya,,Meghalaya
25.25,92.5,Meghalaya,,Meghalaya
25.5,92.5,Meghalaya,,Meghalaya
25.25,92.75,Meghalaya,,Meghalaya
