Latitude,Longitude,District
25.5,90,South West Garo Hills
25.75,90,West Garo Hills
25.25,90.25,South Garo Hills
25.5,90.25,West Garo Hills
25.75,90.25,West Garo Hills
25.25,90.5,South Garo Hills
25.5,90.5,East Garo Hills
25.75,90.5,East Garo Hills
25.25,90.75,South Garo Hills
25.5,90.75,South Garo Hills
25.75,90.75,East Garo Hills
25.25,91,South West Khasi Hills
25.5,91,West Khasi Hills
25.75,91,West Khasi Hills
25.25,91.25,South West Khasi Hills
25.5,91.25,West Khasi Hills
25.25,91.5,East Khasi Hills
25.5,91.5,Eastern West Khasi Hills
25.75,91.5,Eastern West Khasi Hills
25.25,91.75,East Khasi Hills
25.5,91.75,East Khasi Hills
25.75,91.75,Eastern West Khasi Hills
26,91.75,Ri-Bhoi
25.25,92,West Jaintia Hills
25.5,92,East Khasi Hills
25.75,92,Ri-Bhoi
26,92,Ri-Bhoi
25,92.25,East Jaintia Hills
25.25,92.25,East Jaintia Hills
25.5,92.25,West Jaintia Hills
25.25,92.5,East Jaintia Hills
25.5,92.5,West Jaintia Hills
25.25,92.75,East Jaintia Hills
