State,Year,Return_Period,Return_Level,Standard_Error,CI_Lower,CI_Upper
Maharashtra,2025,5,447.9500231,13.96055034,420.5878473,475.312199
Maharashtra,2025,10,493.1962946,16.04688949,461.7449692,524.6476201
Meghalaya,2025,50,2206.211595,459.5253842,1305.558392,3106.864799
Meghalaya,2025,100,2792.632911,678.4964804,1462.804246,4122.461576
Maharashtra,2026,5,448.6901945,14.06016656,421.1327744,476.2476146
Maharashtra,2026,10,493.936466,16.13449188,462.313443,525.559489
Maharashtra,2026,50,593.5163197,21.78590727,550.816726,636.2159133
Meghalaya,2026,100,2846.699887,695.5467938,1483.453222,4209.946553
Maharashtra,2027,5,449.4303659,14.1605876,421.6761242,477.1846076
Maharashtra,2027,10,494.6766373,16.22293544,462.8802681,526.4730065
Maharashtra,2027,50,594.256491,21.85296829,551.4254602,637.0875218
Maharashtra,2027,100,636.3544041,24.48546267,588.3637791,684.3450291
Maharashtra,2028,5,450.1705372,14.26179647,422.2179298,478.1231446
Maharashtra,2028,10,495.4168087,16.31220647,463.4454715,527.3881459
Maharashtra,2028,50,594.9966624,21.92079675,552.0326902,637.9606345
Meghalaya,2028,100,2958.179031,731.0791143,1525.290297,4391.067765
Kerala,2025,5,300.8281,NA,284.6568,316.9993
Kerala,2025,10,338.4337,NA,317.5646,359.3028
Gujarat,2025,50,651.013238,28.20798565,595.7266021,706.299874
Gujarat,2025,100,705.5142305,31.43488036,643.9029971,767.1254638
Kerala,2026,5,300.8281,NA,284.6568,316.9993
Kerala,2026,10,338.4337,NA,317.5646,359.3028
Kerala,2026,50,421.1978,NA,389.239,453.1565
Gujarat,2026,100,706.3153281,31.52984418,644.5179691,768.1126872
Kerala,2027,5,300.8281,NA,284.6568,316.9993
Kerala,2027,10,338.4337,NA,317.5646,359.3028
Kerala,2027,50,421.1978,NA,389.239,453.1565
Kerala,2027,100,456.1867,NA,419.4045,492.9689
Kerala,2028,5,300.8281,NA,284.6568,316.9993
Kerala,2028,10,338.4337,NA,317.5646,359.3028
Kerala,2028,50,421.1978,NA,389.239,453.1565
Gujarat,2028,100,707.9175235,31.72296856,645.7416476,770.0933993
Uttar Pradesh,2025,50,607.2570765,NA,494.3697116,720.1444414
Uttar Pradesh,2025,100,698.9623755,NA,533.3159437,864.6088074
Uttar Pradesh,2026,100,698.9623755,NA,533.3159437,864.6088074
Uttar Pradesh,2028,100,698.9623755,NA,533.3159437,864.6088074
Karnataka,2025,5,346.8856125,11.18229593,324.9687152,368.8025098
Karnataka,2025,10,383.2736406,12.85139977,358.0853599,408.4619213
West Bengal,2025,50,602.6448462,47.75196512,509.0527144,696.2369781
West Bengal,2025,100,678.1462444,67.72300168,545.4116002,810.8808886
Karnataka,2026,5,347.412593,11.26195732,325.3395622,369.4856237
Karnataka,2026,10,383.800621,12.92143526,358.4750733,409.1261688
Karnataka,2026,50,463.8848885,17.44457203,429.6941556,498.0756214
West Bengal,2026,100,678.5404155,67.7248186,545.8022102,811.2786208
Karnataka,2027,5,347.9395734,11.3422652,325.7091421,370.1700047
Karnataka,2027,10,384.3276015,12.99214605,358.8634631,409.7917398
Karnataka,2027,50,464.411869,17.49814575,430.1161335,498.7076044
Karnataka,2027,100,498.2679192,19.60553188,459.8417829,536.6940556
Karnataka,2028,5,348.4665539,11.42320594,326.0774816,370.8556261
Karnataka,2028,10,384.8545819,13.06352118,359.2505509,410.4586129
Karnataka,2028,50,464.9388494,17.55233525,430.5369045,499.3407944
West Bengal,2028,100,679.3287578,67.72951362,546.5813504,812.0761651
Tamil Nadu,2025,5,333.5731,NA,311.3415,355.8047
Tamil Nadu,2025,10,385.5089,NA,356.853,414.1649
Maharashtra,2025,50,592.7761483,21.7196208,550.2064738,635.3458228
Maharashtra,2025,100,634.8740614,24.36538303,587.1187882,682.6293346
Tamil Nadu,2026,5,333.5731,NA,311.3415,355.8047
Tamil Nadu,2026,10,385.5089,NA,356.853,414.1649
Tamil Nadu,2026,50,499.8115,NA,455.979,543.6441
Maharashtra,2026,100,635.6142327,24.42506021,587.7419944,683.4864711
Tamil Nadu,2027,5,333.5731,NA,311.3415,355.8047
Tamil Nadu,2027,10,385.5089,NA,356.853,414.1649
Tamil Nadu,2027,50,499.8115,NA,455.979,543.6441
Tamil Nadu,2027,100,548.1336,NA,497.6976,598.5696
Tamil Nadu,2028,5,333.5731,NA,311.3415,355.8047
Tamil Nadu,2028,10,385.5089,NA,356.853,414.1649
Tamil Nadu,2028,50,499.8115,NA,455.979,543.6441
Maharashtra,2028,100,637.0945754,24.54658505,588.9841528,685.2049981
Andhra Pradesh,2025,5,326.6732,NA,306.4837,346.8627
Andhra Pradesh,2025,10,373.4138,NA,347.3219,399.5057
Madhya Pradesh,2025,50,562.5858835,40.10242047,483.9865837,641.1851834
Madhya Pradesh,2025,100,627.1173503,56.63680222,516.1112577,738.1234428
Andhra Pradesh,2026,5,326.6732,NA,306.4837,346.8627
Andhra Pradesh,2026,10,373.4138,NA,347.3219,399.5057
Andhra Pradesh,2026,50,476.2826,NA,436.2671,516.298
Assam,2026,100,627.4908918,84.47432535,461.9242565,793.0575271
Andhra Pradesh,2027,5,326.6732,NA,306.4837,346.8627
Andhra Pradesh,2027,10,373.4138,NA,347.3219,399.5057
Andhra Pradesh,2027,50,476.2826,NA,436.2671,516.298
Andhra Pradesh,2027,100,519.7709,NA,473.7015,565.8402
Andhra Pradesh,2028,5,326.6732,NA,306.4837,346.8627
Andhra Pradesh,2028,10,373.4138,NA,347.3219,399.5057
Andhra Pradesh,2028,50,476.2826,NA,436.2671,516.298
Assam,2028,100,628.4009087,84.44512187,462.8915112,793.9103063
Odisha,2025,5,394.2981073,15.18494781,364.5361564,424.0600581
Odisha,2025,10,442.791751,17.54157706,408.4108918,477.1726103
Odisha,2025,50,549.5185551,23.8741058,502.7261676,596.3109427
Assam,2025,100,627.0358833,84.48920896,461.4400767,792.6316899
Odisha,2026,5,394.9804276,15.29050527,365.0115879,424.9492672
Odisha,2026,10,443.4740713,17.63481159,408.9104757,478.0376669
Odisha,2026,50,550.2008754,23.94573585,503.2680956,597.1336553
Madhya Pradesh,2026,100,627.4550639,56.63600927,516.4505255,738.4596023
Odisha,2027,5,395.6627478,15.39688841,365.4854011,425.8400946
Odisha,2027,10,444.1563916,17.72890136,409.4083835,478.9043998
Odisha,2027,50,550.8831957,24.01814548,503.8084956,597.9578958
Odisha,2027,100,596.0025201,26.94023292,543.2006338,648.8044064
Odisha,2028,5,396.3450681,15.50408022,365.9576293,426.732507
Odisha,2028,10,444.8387119,17.82383283,409.9046415,479.7727823
Odisha,2028,50,551.565516,24.09132768,504.3473814,598.7836506
Madhya Pradesh,2028,100,628.130491,56.63524556,517.1274495,739.1335326
